280,3.432,3.445,3.438
282,2.716,2.72,2.751
284,2.286,2.29,2.307
286,1.843,1.843,1.857
288,1.519,1.527,1.539
290,1.341,1.34,1.35
292,1.156,1.155,1.164
294,0.997,1,1
296,0.838,0.833,0.851
298,0.716,0.711,0.716
300,0.639,0.637,0.641
302,0.587,0.584,0.588
304,0.549,0.547,0.55
306,0.513,0.509,0.515
308,0.487,0.485,0.491
310,0.468,0.466,0.47
312,0.452,0.451,0.454
314,0.438,0.436,0.44
316,0.418,0.416,0.419
318,0.404,0.402,0.404
320,0.388,0.385,0.388
322,0.374,0.372,0.375
324,0.362,0.36,0.363
326,0.353,0.351,0.355
328,0.345,0.343,0.346
330,0.336,0.334,0.337
332,0.324,0.322,0.324
334,0.313,0.311,0.314
336,0.304,0.302,0.304
338,0.295,0.293,0.295
340,0.284,0.282,0.285
342,0.276,0.274,0.276
344,0.27,0.268,0.27
346,0.264,0.262,0.264
348,0.26,0.258,0.26
350,0.255,0.252,0.255
352,0.25,0.248,0.249
354,0.245,0.242,0.245
356,0.239,0.236,0.239
358,0.231,0.229,0.23
360,0.222,0.22,0.222
362,0.213,0.211,0.213
364,0.202,0.2,0.201
366,0.186,0.184,0.185
368,0.17,0.169,0.17
370,0.157,0.154,0.155
372,0.144,0.141,0.142
374,0.134,0.132,0.133
376,0.127,0.126,0.126
378,0.122,0.121,0.121
380,0.117,0.116,0.116
382,0.113,0.112,0.113
384,0.11,0.109,0.109
386,0.107,0.106,0.106
388,0.106,0.104,0.105
390,0.104,0.103,0.103
392,0.103,0.102,0.102
394,0.102,0.101,0.101
396,0.102,0.1,0.1
398,0.101,0.1,0.1
400,0.1,0.099,0.099
402,0.1,0.098,0.098
404,0.099,0.098,0.098
406,0.099,0.097,0.097
408,0.098,0.097,0.097
410,0.098,0.096,0.096
412,0.097,0.096,0.096
414,0.097,0.095,0.095
416,0.096,0.095,0.095
418,0.096,0.094,0.094
420,0.095,0.094,0.094
422,0.095,0.094,0.094
424,0.095,0.093,0.093
426,0.095,0.093,0.093
428,0.094,0.093,0.093
430,0.094,0.092,0.092
432,0.094,0.092,0.092
434,0.093,0.092,0.092
436,0.093,0.091,0.091
438,0.093,0.091,0.091
440,0.092,0.091,0.091
442,0.092,0.091,0.091
444,0.092,0.091,0.091
446,0.092,0.09,0.09
448,0.092,0.09,0.09
450,0.092,0.09,0.09
452,0.091,0.09,0.09
454,0.091,0.09,0.089
456,0.091,0.09,0.089
458,0.09,0.09,0.089
460,0.09,0.09,0.089
462,0.09,0.09,0.089
464,0.09,0.09,0.089
466,0.09,0.089,0.089
468,0.09,0.089,0.088
470,0.09,0.089,0.088
472,0.09,0.089,0.088
474,0.09,0.088,0.088
476,0.09,0.088,0.088
478,0.089,0.088,0.088
480,0.089,0.088,0.088
482,0.089,0.088,0.088
484,0.089,0.088,0.087
486,0.089,0.088,0.087
488,0.089,0.087,0.087
490,0.089,0.087,0.087
492,0.089,0.087,0.087
494,0.089,0.087,0.087
496,0.089,0.087,0.087
498,0.089,0.087,0.087
500,0.089,0.087,0.087
502,0.089,0.087,0.087
504,0.089,0.087,0.087
506,0.089,0.087,0.087
508,0.089,0.087,0.087
510,0.088,0.087,0.087
512,0.088,0.087,0.087
514,0.088,0.087,0.087
516,0.088,0.087,0.087
518,0.088,0.087,0.087
520,0.088,0.087,0.086
522,0.088,0.087,0.086
524,0.088,0.087,0.087
526,0.088,0.087,0.087
528,0.088,0.087,0.086
530,0.088,0.087,0.086
532,0.088,0.087,0.087
534,0.088,0.087,0.086
536,0.088,0.087,0.087
538,0.088,0.087,0.086
540,0.088,0.087,0.086
542,0.088,0.087,0.086
544,0.088,0.087,0.087
546,0.088,0.087,0.086
548,0.088,0.087,0.087
550,0.088,0.087,0.086
552,0.088,0.087,0.087
554,0.088,0.087,0.087
556,0.088,0.087,0.086
558,0.088,0.087,0.087
560,0.088,0.087,0.086
562,0.088,0.087,0.086
564,0.088,0.087,0.086
566,0.088,0.087,0.086
568,0.088,0.087,0.086
570,0.088,0.087,0.086
572,0.088,0.086,0.086
574,0.088,0.086,0.086
576,0.088,0.086,0.086
578,0.087,0.086,0.086
580,0.087,0.086,0.086
582,0.087,0.086,0.086
584,0.087,0.086,0.086
586,0.087,0.086,0.086
588,0.087,0.086,0.086
590,0.087,0.086,0.086
592,0.087,0.086,0.086
594,0.087,0.086,0.085
596,0.087,0.086,0.085
598,0.087,0.086,0.085
600,0.087,0.085,0.085
